,Item_Outlet_Sales,Item_Identifier,Outlet_Identifier
161,3058.7312,NCN14,OUT035
162,4087.413,FDH08,OUT013
163,3218.1975,FDS20,OUT046
164,1124.8988,FDV40,OUT049
165,208.20401,FDZ48,OUT010
166,2440.9397,FDS24,OUT027
167,2713.3022,FDK44,OUT049
168,2793.167,FDS48,OUT045
169,763.37976,FDK26,OUT010
170,3026.5818,FDD23,OUT045
171,2696.1982,NCH54,OUT017
172,337.73837,NCP14,OUT010
173,82.83028,FDM60,OUT010
174,2030.7698,FDV24,OUT017
175,3447.3027,FDH08,OUT018
176,3460.1113,FDS12,OUT027
177,5152.4204,FDR39,OUT027
178,1019.3082,FDP12,OUT027
179,5911.842,DRF60,OUT027
180,1768.8236,FDC09,OUT035
181,3271.9827,FDF50,OUT018
182,4346.0625,FDG28,OUT035
183,928.87036,NCE19,OUT017
184,151.24362,NCM53,OUT010
185,1868.872,NCN18,OUT049
186,3529.6418,FDF32,OUT035
187,3155.6946,FDF11,OUT013
188,4036.593,DRI59,OUT049
189,3037.1333,NCG54,OUT035
190,1536.1443,FDM44,OUT046
191,2859.0688,FDT57,OUT018
192,2186.9902,FDV24,OUT046
193,573.0492,FDI50,OUT019
194,759.4142,FDS09,OUT035
195,4018.744,NCC31,OUT027
196,157.75772,FDQ07,OUT019
197,4047.003,FDC22,OUT017
198,3264.0354,FDZ56,OUT046
199,323.98642,FDZ40,OUT019
200,3158.9526,FDS46,OUT027
201,2288.344,DRD24,OUT045
202,3063.2598,FDV45,OUT017
203,2444.7231,FDL26,OUT045
204,1755.7095,FDA56,OUT018
205,1040.0817,FDN27,OUT046
206,4546.0513,FDM20,OUT049
207,2073.9695,FDO16,OUT017
208,3116.981,FDL03,OUT035
209,1869.4684,FDE58,OUT046
210,3472.3284,FDI02,OUT027
211,83.99377,NCC55,OUT019
212,3122.4863,FDR03,OUT018
213,1492.4016,FDB14,OUT017
214,3670.6523,FDR45,OUT013
215,2344.3008,NCN07,OUT017
216,305.0757,FDM51,OUT019
217,5977.3936,FDT52,OUT027
218,2250.0483,FDL26,OUT046
219,3154.189,NCZ42,OUT046
220,728.3543,DRI47,OUT019
221,2709.2654,FDW40,OUT013
222,3454.1047,FDN34,OUT046
223,2907.1235,FDS01,OUT035
224,1818.5994,NCG55,OUT045
225,1155.9382,FDC11,OUT035
226,1927.6659,FDX35,OUT018
227,2577.4185,NCB06,OUT046
228,705.4101,FDR09,OUT019
229,1598.6294,FDC53,OUT017
230,5271.559,FDY45,OUT013
231,691.5877,FDA22,OUT010
232,1472.6841,FDE02,OUT035
233,2247.852,FDW21,OUT045
234,1207.9008,FDV34,OUT046
235,1831.8206,FDS59,OUT049
236,2322.7058,NCW17,OUT017
237,1899.2273,NCK54,OUT046
238,658.2288,FDG17,OUT019
239,3703.7842,FDG35,OUT017
240,-55.871284,FDD08,OUT010
241,4501.1787,NCO07,OUT017
242,-341.24255,FDJ10,OUT010
243,1552.7614,FDW36,OUT017
244,24.224531,FDW21,OUT010
245,2177.714,FDY19,OUT017
246,764.21875,DRE03,OUT013
247,536.89795,NCC55,OUT049
248,154.8697,FDH52,OUT010
249,5840.9023,FDO09,OUT017
250,4045.1538,FDU43,OUT045
251,223.04214,FDX09,OUT010
252,165.82536,FDH40,OUT019
253,1729.8943,FDW58,OUT017
254,4723.745,FDC47,OUT017
255,1639.1924,NCR41,OUT035
256,4675.3965,DRG49,OUT035
257,3907.344,FDC52,OUT027
258,1193.5573,FDY13,OUT046
259,718.40204,FDY35,OUT013
260,3749.1191,FDI35,OUT017
261,2254.504,NCU18,OUT049
262,2470.1252,FDY33,OUT018
263,4327.1304,FDC15,OUT027
264,3854.144,FDU01,OUT049
265,3385.816,NCU42,OUT046
266,2484.1394,NCV29,OUT018
267,3583.8926,NCY30,OUT017
268,1913.0646,FDQ46,OUT049
269,3259.7827,FDG58,OUT027
270,4420.6675,FDK33,OUT017
271,1887.2018,NCD07,OUT045
272,4087.3115,NCX29,OUT027
273,2050.1367,NCT42,OUT013
274,778.0235,DRN59,OUT035
275,1298.7803,FDI44,OUT035
276,1327.8972,FDA45,OUT049
277,831.27856,FDP31,OUT045
278,1793.0103,FDY01,OUT046
279,1728.336,FDT09,OUT018
280,2515.9978,DRH03,OUT027
281,2522.966,FDA36,OUT018
282,2334.5034,NCF31,OUT017
283,2523.6462,FDG14,OUT049
284,5795.5947,FDG28,OUT027
285,4289.884,FDU14,OUT049
286,347.65018,FDY47,OUT019
287,1548.2516,FDI56,OUT049
288,732.4631,DRD01,OUT013
289,842.3213,FDM22,OUT046
290,669.96265,FDH33,OUT013
291,1987.1783,DRZ24,OUT013
292,1618.7631,NCQ38,OUT046
293,2313.518,FDO16,OUT027
294,3626.9246,FDU07,OUT027
295,2527.1938,NCB07,OUT013
296,1426.8712,FDU48,OUT045
297,2509.0264,NCM43,OUT045
298,638.2705,FDR31,OUT010
299,494.332,DRK49,OUT018
300,1334.737,NCI30,OUT010
301,3075.7654,DRD60,OUT017
302,2970.7883,NCG19,OUT046
303,1498.4995,FDH12,OUT035
304,1374.0614,FDM32,OUT035
305,2708.646,FDM27,OUT035
306,4801.8965,NCU53,OUT027
307,1538.7352,NCQ18,OUT046
308,2757.9172,FDS10,OUT013
309,4134.3794,FDB33,OUT027
310,1394.6062,FDI12,OUT013
311,3585.524,NCW42,OUT013
312,2184.484,NCC06,OUT018
313,3389.5535,FDW02,OUT017
314,1683.3783,NCD43,OUT017
315,1021.2348,FDM57,OUT018
316,3622.7915,FDA58,OUT017
317,3182.9268,FDK56,OUT046
318,4390.1426,FDP52,OUT045
319,1994.6464,FDW20,OUT018
320,1641.5763,FDS52,OUT049
321,1661.004,NCT29,OUT018
322,2980.306,NCL54,OUT013
323,2698.7012,FDC05,OUT045
324,2858.022,FDF34,OUT035
325,3487.359,FDP03,OUT027
326,75.58149,FDD32,OUT010
327,2395.3367,FDZ10,OUT045
328,983.30286,FDZ40,OUT035
329,451.99207,FDD51,OUT018
330,356.11154,NCY30,OUT019
331,3061.7263,FDP58,OUT017
332,3714.0388,FDV49,OUT017
333,183.07,FDY24,OUT019
334,1567.786,NCO55,OUT017
335,1732.7775,FDR13,OUT017
336,1352.1631,FDS51,OUT017
337,1532.8907,FDP26,OUT045
338,3521.0872,NCB54,OUT027
339,3074.972,FDF32,OUT017
340,2456.5947,FDN31,OUT018
341,673.07404,DRM48,OUT017
342,2696.8733,FDN20,OUT049
343,4046.3806,DRL01,OUT046
344,1935.8793,FDV56,OUT049
345,2757.2092,DRH13,OUT027
346,2727.1392,FDA03,OUT017
347,5585.585,FDF47,OUT027
348,2606.8464,FDX32,OUT046
349,1655.2223,FDX57,OUT049
350,2609.5312,NCA30,OUT045
351,773.97595,FDO49,OUT013
352,287.98077,FDL04,OUT019
353,608.64777,DRM48,OUT035
354,4557.331,FDR16,OUT013
355,2939.5767,NCC19,OUT018
356,2821.9768,NCE42,OUT045
357,809.26324,FDY24,OUT017
358,2886.0588,FDH19,OUT049
359,2072.5986,FDJ46,OUT013
360,666.81024,FDN45,OUT010
361,2187.431,FDY08,OUT035
362,1831.2118,FDZ37,OUT035
363,768.74567,NCT30,OUT045
364,381.24316,DRY23,OUT018
365,1690.5627,NCZ30,OUT018
366,1832.2701,FDC44,OUT018
367,1887.1873,FDB45,OUT035
368,2155.3518,FDY04,OUT013
369,3068.3638,FDM27,OUT046
370,3989.0608,FDZ43,OUT017
371,394.8173,FDT39,OUT019
372,304.3177,NCC06,OUT019
373,4289.0083,FDL15,OUT027
374,5188.74,FDL57,OUT017
375,1550.2722,FDU08,OUT046
376,4548.9956,FDK40,OUT017
377,991.29065,FDQ12,OUT010
378,2680.9985,FDS48,OUT017
379,3658.378,FDP09,OUT045
380,1663.1525,FDW21,OUT049
381,3525.5232,FDY25,OUT035
382,1340.5945,DRE13,OUT017
383,85.44434,FDV43,OUT019
384,1584.1891,FDD22,OUT045
385,304.4189,FDM46,OUT019
386,1050.8405,NCO30,OUT010
387,2784.8018,FDM25,OUT046
388,2138.6152,NCN41,OUT049
389,1679.8195,FDU24,OUT045
390,3197.0654,FDZ50,OUT046
391,3727.728,FDP45,OUT013
392,2014.1704,NCM54,OUT045
393,218.6479,FDW10,OUT019
394,1937.1565,FDP20,OUT017
395,2307.4585,FDK32,OUT046
396,1299.9381,FDN52,OUT049
397,1918.6512,FDM58,OUT045
398,2707.812,FDZ46,OUT027
399,1263.7417,NCA18,OUT018
400,2112.6084,FDD35,OUT046
401,861.0663,NCK31,OUT035
402,2859.2568,FDI40,OUT027
403,298.65683,FDT50,OUT019
404,2554.5122,NCT06,OUT046
405,2801.8044,FDT31,OUT035
406,761.3969,FDT45,OUT049
407,3306.3416,FDT13,OUT045
408,1031.1403,FDO50,OUT045
409,392.63815,NCU18,OUT010
410,3547.8435,NCR54,OUT049
411,2555.308,NCO18,OUT018
412,690.34406,FDU09,OUT045
413,2421.7246,FDT13,OUT018
414,1806.3921,FDE09,OUT046
415,294.12503,NCK53,OUT019
416,3990.8318,FDG45,OUT049
417,612.2643,DRH15,OUT035
418,607.883,FDO21,OUT019
419,5422.5654,FDD14,OUT027
420,1594.5765,FDC09,OUT046
421,1176.3083,FDH45,OUT027
422,1098.2599,FDV32,OUT046
423,2011.9913,FDG12,OUT035
424,1994.0242,FDS32,OUT013
425,4052.9092,NCL55,OUT018
426,3394.5662,DRE01,OUT035
427,1151.6106,DRE15,OUT049
428,2688.6572,NCL42,OUT045
429,774.14166,FDP31,OUT013
430,1038.6807,FDN33,OUT018
431,2768.344,FDZ59,OUT046
432,427.95987,FDE45,OUT010
433,1758.4855,FDJ07,OUT013
434,2865.0833,FDQ45,OUT018
435,4629.9624,FDM33,OUT027
436,186.87302,FDO15,OUT010
437,1467.439,FDM46,OUT013
438,3754.8938,FDR03,OUT045
439,2213.4006,FDY49,OUT018
440,1950.7876,FDQ60,OUT045
441,2915.9175,FDW10,OUT049
442,749.5747,FDO51,OUT049
443,1496.5233,FDJ40,OUT018
444,2736.389,FDS20,OUT018
445,2093.7537,FDU45,OUT013
446,2927.4526,FDV02,OUT035
447,4308.583,FDN09,OUT046
448,5725.546,NCM55,OUT027
449,2100.6658,FDN23,OUT018
450,333.13712,FDY31,OUT010
451,703.344,FDW03,OUT010
452,2896.356,FDD14,OUT046
453,2043.3293,FDV23,OUT017
454,2723.0688,DRI03,OUT045
455,1467.5789,FDN13,OUT035
456,1702.6339,FDF45,OUT027
457,1446.0563,FDU46,OUT035
458,3812.186,FDB57,OUT049
459,1688.4583,FDV12,OUT049
460,2149.3398,FDQ58,OUT013
461,1681.6024,NCA18,OUT017
462,964.2011,FDH52,OUT049
463,2465.3635,FDM24,OUT018
464,5070.4756,NCP43,OUT027
465,725.39734,NCO18,OUT019
466,1413.1769,FDM32,OUT017
467,603.26733,NCL07,OUT017
468,4702.4375,FDK03,OUT013
469,1524.0769,FDP59,OUT017
470,3851.008,FDQ24,OUT049
471,1654.3966,FDQ16,OUT018
472,2566.6443,FDU44,OUT013
473,-137.94246,FDH28,OUT010
474,88.68723,FDV28,OUT019
475,876.6439,FDM22,OUT045
476,3187.7595,FDR56,OUT046
477,3287.1914,FDV39,OUT049
478,178.31451,FDU37,OUT019
479,25.973942,FDQ11,OUT010
480,4026.4983,FDX02,OUT045
481,963.7441,NCS42,OUT018
482,2750.225,FDY57,OUT027
483,4151.395,FDB21,OUT049
484,3618.2832,FDE28,OUT017
485,2170.586,FDQ55,OUT017
486,3790.1426,FDA48,OUT049
487,2438.848,FDZ19,OUT045
488,3097.6733,NCC43,OUT045
489,1936.7008,NCV18,OUT046
490,2972.0413,NCA42,OUT018
491,3780.846,FDY45,OUT046
492,2366.5874,NCC30,OUT045
493,1396.9915,FDM57,OUT013
494,508.3508,FDL09,OUT010
495,3317.4832,FDB09,OUT027
496,1923.6317,FDT44,OUT035
497,3861.1309,NCT06,OUT027
498,3341.1094,FDX26,OUT049
499,2680.9297,FDK32,OUT013
500,2276.9224,DRA12,OUT046
501,745.48694,FDO46,OUT010
502,1247.7799,FDE52,OUT013
503,4062.316,NCH42,OUT045
504,711.11993,FDV08,OUT035
505,2683.5095,FDB47,OUT018
506,147.0811,FDC28,OUT010
507,1868.2783,FDD22,OUT046
508,3152.9683,FDS07,OUT027
509,3679.3787,DRI13,OUT045
510,3571.6694,FDG32,OUT018
511,5459.8887,FDU14,OUT017
512,227.43735,FDD28,OUT019
513,1741.8248,NCP41,OUT017
514,2159.7573,FDS08,OUT049
515,2446.1052,FDX47,OUT045
516,257.3148,FDC53,OUT019
517,3659.5015,FDQ19,OUT035
518,2325.5657,FDL14,OUT045
519,610.61115,FDM33,OUT019
520,2181.8381,FDA51,OUT045
521,500.11774,FDZ27,OUT018
522,628.3961,FDT04,OUT046
523,1923.2771,DRC13,OUT049
524,5183.468,FDR16,OUT027
525,6047.2114,FDQ03,OUT027
526,2677.176,FDE38,OUT035
527,1918.5927,DRH23,OUT027
528,409.34238,FDT11,OUT019
529,3370.82,FDD09,OUT035
530,1449.022,FDR40,OUT045
531,3417.694,FDX07,OUT017
532,1604.1755,FDR07,OUT035
533,2139.1448,FDA51,OUT017
534,732.4605,FDT59,OUT019
535,3052.9346,FDF20,OUT017
536,1521.091,FDR13,OUT045
537,5213.283,FDY26,OUT049
538,2226.7505,FDW04,OUT017
539,4406.592,FDK52,OUT017
540,2871.565,FDN60,OUT049
541,579.90094,FDM09,OUT019
542,1364.7145,FDP46,OUT049
543,237.79204,FDB50,OUT019
544,4208.224,NCQ29,OUT049
545,7822.872,FDP16,OUT027
546,2157.0166,FDX33,OUT018
547,731.2384,FDP07,OUT010
548,3640.4543,FDN22,OUT046
549,3938.6897,FDF39,OUT049
550,988.47473,FDS21,OUT017
551,1327.9438,NCM42,OUT013
552,539.075,FDK50,OUT019
553,3587.2107,DRF13,OUT027
554,2106.8105,FDH35,OUT018
555,1290.2806,FDP60,OUT018
556,3207.207,DRJ49,OUT027
557,443.9499,NCT42,OUT019
558,2767.6104,FDE38,OUT049
559,3333.9756,FDI04,OUT049
560,2638.813,NCH54,OUT045
561,919.63684,FDT56,OUT049
562,2733.52,DRD15,OUT018
563,2617.4517,FDV58,OUT013
564,3597.528,FDP21,OUT049
565,3746.4492,FDH05,OUT013
566,4497.4053,FDR10,OUT027
567,2201.1287,NCP06,OUT045
568,2022.9673,FDF33,OUT049
569,3128.412,DRK37,OUT013
570,1267.7673,DRH49,OUT045
571,2448.7556,FDT58,OUT013
572,1477.4479,FDD41,OUT018
573,1266.8948,FDP40,OUT018
574,2679.4973,FDM51,OUT027
575,119.64718,FDO45,OUT010
576,268.58435,FDW33,OUT010
577,678.71436,FDY24,OUT045
578,-428.25848,FDB10,OUT010
579,2158.3315,FDM40,OUT035
580,2978.2422,NCI06,OUT017
581,300.55432,FDW12,OUT019
582,4111.6826,FDX48,OUT027
583,2719.4553,NCW05,OUT027
584,1546.7051,FDX27,OUT017
585,3455.8308,DRM37,OUT045
586,3601.3186,FDA38,OUT045
587,741.07227,FDR36,OUT046
588,3069.4612,FDZ45,OUT046
589,2862.3076,FDG05,OUT017
590,4650.266,FDK28,OUT013
591,1230.8682,FDV47,OUT045
592,2329.702,FDN21,OUT045
593,3450.6797,FDP20,OUT027
594,3353.8816,FDI35,OUT045
595,588.08704,DRY23,OUT013
596,2138.2817,FDA56,OUT017
597,1812.6859,FDB09,OUT013
598,2965.1528,NCO26,OUT027
599,2262.721,FDQ49,OUT018
600,3206.4182,FDI52,OUT027
601,2881.2512,FDZ44,OUT027
602,2095.9414,FDZ09,OUT018
603,1837.4341,FDY03,OUT049
604,2341.7683,NCG42,OUT017
605,5166.1885,DRI13,OUT027
606,1962.3518,FDQ32,OUT013
607,1655.545,FDW16,OUT035
608,716.1637,FDU27,OUT046
609,599.736,FDR28,OUT010
610,355.46585,FDQ49,OUT010
611,1915.8905,FDS37,OUT046
612,2282.2642,FDW26,OUT018
613,3519.274,FDX12,OUT018
614,2266.9324,NCP06,OUT013
615,229.21414,FDW45,OUT010
616,1560.9448,NCN30,OUT049
617,893.8399,FDN24,OUT049
618,953.9554,NCL41,OUT027
619,255.44626,FDR02,OUT019
620,627.9201,FDD09,OUT010
621,128.98851,FDS33,OUT010
622,1995.9003,FDU22,OUT045
623,2560.256,FDI53,OUT013
624,2875.0562,DRH01,OUT049
625,2631.0498,FDX32,OUT013
626,581.1985,NCP30,OUT018
627,2964.988,FDB60,OUT045
628,1431.703,FDB14,OUT049
629,868.23413,NCP02,OUT035
630,2152.5757,FDJ10,OUT017
631,1751.7234,FDG34,OUT046
632,1546.0083,NCB18,OUT017
633,1319.7974,FDM16,OUT049
634,1432.7883,FDW25,OUT018
635,193.85144,FDB35,OUT010
636,2249.3813,DRN11,OUT013
637,120.491035,FDF41,OUT019
638,1290.455,FDH16,OUT045
639,3350.5566,NCQ50,OUT018
640,737.4075,DRH23,OUT018
641,1927.7667,DRJ37,OUT013
642,4635.518,DRJ24,OUT027
643,2928.2712,FDY16,OUT035
644,2160.8042,FDQ27,OUT045
645,1945.9208,FDZ33,OUT045
646,2154.1272,FDF29,OUT045
647,2371.0315,FDA08,OUT049
648,1103.9249,FDG31,OUT046
649,498.66034,FDE34,OUT019
650,1879.5334,NCR30,OUT027
651,3378.8677,FDV33,OUT035
652,1693.7253,DRZ24,OUT018
653,3040.5237,NCL54,OUT035
654,2426.872,FDR12,OUT049
655,3980.549,NCC54,OUT046
656,834.9666,DRN59,OUT013
657,237.38455,FDX50,OUT019
658,4166.492,FDV31,OUT027
659,4351.0376,NCA29,OUT027
660,2445.7207,FDW60,OUT049
661,3525.1753,FDX08,OUT017
662,3529.0325,DRD49,OUT013
663,3508.4426,FDD33,OUT046
664,716.67035,FDW35,OUT013
665,1803.7441,FDJ36,OUT017
666,2852.1387,FDV51,OUT035
667,1589.3727,FDW36,OUT046
668,2200.8916,FDH35,OUT046
669,3655.7085,NCS30,OUT027
670,493.78973,FDN49,OUT017
671,3282.5508,FDL08,OUT018
672,4760.02,FDI09,OUT013
673,1223.2834,FDP19,OUT018
674,40.59878,FDU21,OUT010
675,1577.3854,NCP41,OUT045
676,1911.3196,FDY10,OUT013
677,365.72382,FDP12,OUT018
678,1760.4875,NCN26,OUT049
679,2872.915,FDK44,OUT013
680,1264.6577,FDC28,OUT049
681,6526.9927,FDJ41,OUT027
682,2086.66,NCT29,OUT035
683,230.62578,NCH42,OUT019
684,2681.6602,FDU60,OUT018
685,3368.7053,FDS02,OUT045
686,1993.941,FDC51,OUT046
687,3594.4536,FDU03,OUT013
688,3835.7258,FDX39,OUT045
689,79.82349,NCY05,OUT010
690,5996.8657,NCL06,OUT027
691,1286.4447,FDD32,OUT035
692,1979.5721,NCN41,OUT045
693,2304.7769,NCX53,OUT049
694,357.219,FDU57,OUT019
695,1690.7706,FDQ23,OUT046
696,5536.647,FDQ52,OUT045
697,524.8317,FDC14,OUT045
698,3100.0674,FDY09,OUT035
699,2627.2568,FDQ28,OUT045
700,5795.587,FDV25,OUT046
701,2009.4113,FDJ07,OUT035
702,1535.678,DRB25,OUT049
703,625.89154,FDK52,OUT019
704,1695.7433,FDY52,OUT027
705,2612.4204,FDB28,OUT046
706,587.6734,FDT36,OUT035
707,4506.1094,FDV25,OUT017
708,3812.1318,NCN07,OUT027
709,3434.5735,FDC57,OUT017
710,2775.75,FDQ03,OUT018
711,2970.7444,FDU23,OUT017
712,3845.8037,NCX41,OUT035
713,790.9867,NCD06,OUT035
714,1759.1133,FDW08,OUT045
715,2678.1128,NCU29,OUT017
716,1968.9838,NCE06,OUT013
717,324.24542,FDV52,OUT010
718,2948.564,FDB02,OUT017
719,581.18274,NCR18,OUT045
720,1695.9747,FDK16,OUT049
721,817.89526,NCQ29,OUT010
722,200.28847,FDZ01,OUT019
723,2159.7236,FDW27,OUT035
724,2475.4263,FDD17,OUT018
725,2505.6028,FDW39,OUT013
726,1104.2156,DRH59,OUT045
727,1539.8033,FDS52,OUT013
728,5681.975,FDU40,OUT027
729,2559.1533,NCF54,OUT013
730,1622.5398,FDH46,OUT045
731,2117.8357,NCP14,OUT049
732,3897.7932,FDH50,OUT049
733,-135.60927,DRF15,OUT010
734,2237.421,FDV27,OUT027
735,1847.0864,NCJ06,OUT049
736,3899.581,FDN02,OUT018
737,701.3854,FDQ51,OUT049
738,3931.532,FDQ07,OUT017
739,1981.2548,FDS45,OUT049
740,2041.7533,NCJ06,OUT045
741,2162.9717,FDD36,OUT035
742,3486.835,FDY25,OUT045
743,2426.6267,FDU52,OUT046
744,4094.4766,DRK47,OUT017
745,2061.973,NCL30,OUT017
746,3327.0413,FDN22,OUT035
747,3342.0608,NCF30,OUT027
748,5521.0376,FDK03,OUT035
749,909.3094,FDT45,OUT017
750,6005.653,NCC54,OUT027
751,3400.1663,FDP08,OUT018
752,2606.6812,FDU44,OUT046
753,962.6781,DRG39,OUT035
754,2048.3555,FDU32,OUT049
755,2795.6348,FDY27,OUT049
756,2207.9255,NCP54,OUT013
757,1766.8729,NCZ41,OUT049
758,2393.3525,DRL49,OUT013
759,1100.8011,FDI05,OUT018
760,4687.0225,FDY56,OUT045
761,1928.6366,DRC13,OUT013
762,2982.39,NCV29,OUT017
763,1314.9504,FDR24,OUT049
764,2131.9744,FDZ34,OUT018
765,2145.5046,FDP37,OUT035
766,5277.4883,FDX08,OUT027
767,2336.2292,FDS57,OUT045
768,1678.0521,NCG18,OUT049
769,2535.2573,FDK25,OUT018
770,1164.7465,FDH53,OUT049
771,3698.2651,DRI59,OUT018
772,2475.6082,FDA52,OUT046
773,126.173355,FDT20,OUT010
774,441.66895,FDE36,OUT019
775,3178.0906,FDI24,OUT017
776,2683.0422,FDB28,OUT018
777,2766.5098,FDV11,OUT017
778,2092.5962,FDP01,OUT046
779,3906.2563,FDD34,OUT027
780,1417.4364,FDJ50,OUT027
781,1589.9778,FDZ44,OUT013
782,1237.2207,DRO59,OUT035
783,612.6242,DRB48,OUT045
784,2397.4326,FDR21,OUT018
785,903.0225,NCE42,OUT010
786,1446.1875,FDO23,OUT046
